COM CODE,NUMBER,time
21098,1489 INSTR F215,TH 1
21098,3765 INSTR F215,TH 1
21098,3766 INSTR F215,TH 1
21098,1481 INSTR F215,M 7 8
21098,1484 INSTR F215,W 7 8
21098,1485 INSTR F215,W 9 10
21345,1151 INSTR F311,T TH S 3
21345,1542 INSTR F311,T 7 8 9
21345,1543 INSTR F311,TH 7 8 9
21345,1544 INSTR F311,S 4 5 6
21346,1152 INSTR F312,M W F 3
21346,1545 INSTR F312,W 1
21347,1153 INSTR F313,M W F 8
21347,1546 INSTR F313,M 1
21347,1547 INSTR F313,M 1
21347,3767 INSTR F313,M 1
21351,1154 INSTR F432,M W F 10
21856,1278 INSTR F473,T TH S 2
21331,1146 IS F462,M W F 8
21010,1366 MATH F111,M W F 5
21010,1366 MATH F111,F 1
21010,1372 MATH F111,M W F 5
21010,1372 MATH F111,M 1
21010,1373 MATH F111,M W F 5
21010,1373 MATH F111,M 1
21010,1374 MATH F111,M W F 5
21010,1374 MATH F111,T 1
21010,1059 MATH F111,M W F 9
21010,1059 MATH F111,S 1
21010,1375 MATH F111,M W F 9
21010,1375 MATH F111,T 1
21010,1376 MATH F111,M W F 9
21010,1376 MATH F111,M 1
21010,1377 MATH F111,M W F 9
21010,1377 MATH F111,T 1
21010,1378 MATH F111,T TH S 2
21010,1378 MATH F111,F 1
21010,1367 MATH F111,T TH S 2
21010,1367 MATH F111,M 1
21010,1368 MATH F111,T TH S 5
21010,1368 MATH F111,S 1
21010,1369 MATH F111,T TH S 5
21010,1369 MATH F111,T 1
21010,1370 MATH F111,T TH S 5
21010,1370 MATH F111,M 1
21010,1371 MATH F111,T TH S 5
21010,1371 MATH F111,T 1
21012,1060 MATH F113,T TH 9 F 7
21012,1060 MATH F113,M 7
21012,1379 MATH F113,T TH 9 F 7
21012,1379 MATH F113,W 7
21012,1380 MATH F113,T TH 9 F 7
21012,1380 MATH F113,M 7
21012,1381 MATH F113,T TH 9 F 7
21012,1381 MATH F113,W 7
21012,1382 MATH F113,T TH 9 F 7
21012,1382 MATH F113,M 7
21012,1383 MATH F113,T TH 9 F 7
21012,1383 MATH F113,W 7
21012,1384 MATH F113,T TH 9 F 7
21012,1384 MATH F113,M 7
21012,1385 MATH F113,T TH 9 F 7
21012,1385 MATH F113,W 7
21022,1065 MATH F211,M W F 5
21022,1661 MATH F211,W 1
21022,1414 MATH F211,M W F 5
21022,1665 MATH F211,T 7
21022,1415 MATH F211,M W F 5
21022,1666 MATH F211,W 1
21022,1416 MATH F211,M W F 5
21022,1667 MATH F211,TH 7
21022,1417 MATH F211,M W F 8
21022,1668 MATH F211,W 1
21022,1418 MATH F211,M W F 8
21022,1669 MATH F211,T 7
21022,1419 MATH F211,M W F 8
21022,1670 MATH F211,W 1
21022,1420 MATH F211,M W F 8
21022,1671 MATH F211,TH 7
21022,1421 MATH F211,T TH S 2
21022,1672 MATH F211,W 1
21022,1411 MATH F211,T TH S 2
21022,1662 MATH F211,T 7
21022,1412 MATH F211,T TH S 2
21022,1663 MATH F211,W 1
21022,1413 MATH F211,T TH S 2
21022,1664 MATH F211,TH 7
21122,1097 MATH F212,T TH S 5
21122,1501 MATH F212,F 1
21122,3768 MATH F212,F 1
21122,3769 MATH F212,F 1
21123,1098 MATH F213,M W F 5
21123,1502 MATH F213,TH 1
21124,1099 MATH F214,T TH S 3
21124,1503 MATH F214,T 7
21125,1100 MATH F215,M W F 4
21125,1504 MATH F215,T 1
21469,1174 MATH F311,T TH S 5
21469,1591 MATH F311,W 1
